fecha,semana,finca,zona,responsable_equipo,litros_leche,kilos_maiz,calidad_dato,observacion
2026-05-01,1,La Esperanza,Norte,Disenador visual,58.33,191.39,ok,sin novedad
2026-05-02,1,El Progreso,Norte,Documentador,48.82,141.03,ok,sin novedad
2026-05-03,1,Los Naranjos,Norte,Vocero,54.77,195.16,ok,sin novedad
2026-05-04,1,San Miguel,Sur,Documentador,68.82,120.94,ok,sin novedad
2026-05-05,1,La Rivera,Sur,Vocero,75.45,87.47,revisar,produccion atipica
2026-05-06,1,Monteverde,Sur,Programador,69.18,94.72,ok,sin novedad
2026-05-07,1,El Guadual,Centro,Coordinador,66.97,228.74,ok,sin novedad
2026-05-08,2,Buena Vista,Centro,Tester,62.08,161.17,ok,sin novedad
2026-05-09,2,La Esperanza,Centro,Coordinador,41.41,144.78,ok,sin novedad
2026-05-10,2,El Progreso,Oriente,Programador,33.36,178.23,ok,sin novedad
2026-05-11,2,Los Naranjos,Oriente,Coordinador,59.38,257.71,ok,sin novedad
2026-05-12,2,San Miguel,Oriente,Documentador,65.5,101.74,ok,sin novedad
2026-05-13,2,La Rivera,Norte,Programador,38.42,158.42,ok,sin novedad
2026-05-14,2,Monteverde,Norte,Disenador visual,53.53,230.9,ok,sin novedad
2026-05-15,3,El Guadual,Norte,Programador,46.39,105.02,revisar,produccion atipica
2026-05-16,3,Buena Vista,Sur,Programador,62.91,171.47,ok,sin novedad
2026-05-17,3,La Esperanza,Sur,Programador,20.93,236.72,ok,sin novedad
2026-05-18,3,El Progreso,Sur,Tester,27.73,183.7,ok,sin novedad
2026-05-19,3,Los Naranjos,Centro,Documentador,70.27,248.41,ok,sin novedad
2026-05-20,3,San Miguel,Centro,Documentador,70.51,91.97,ok,sin novedad
2026-05-21,3,La Rivera,Centro,Programador,67.17,223.07,ok,sin novedad
2026-05-22,4,Monteverde,Oriente,Coordinador,33.9,153.76,ok,sin novedad
2026-05-23,4,El Guadual,Oriente,Documentador,30.92,195.75,ok,sin novedad
2026-05-24,4,Buena Vista,Oriente,Vocero,67.06,113.84,ok,sin novedad
2026-05-25,4,La Esperanza,Norte,Disenador visual,20.01,124.53,ok,sin novedad
2026-05-26,4,El Progreso,Norte,Disenador visual,35.19,196.01,ok,sin novedad
2026-05-27,4,Los Naranjos,Norte,Documentador,61.58,152.76,ok,sin novedad
2026-05-28,4,San Miguel,Sur,Coordinador,69.45,108.67,revisar,verificar registro manual
2026-05-29,5,La Rivera,Sur,Vocero,27.75,177.34,ok,sin novedad
2026-05-30,5,Monteverde,Sur,Documentador,31.04,207.41,ok,sin novedad
2026-05-31,5,El Guadual,Centro,Programador,31.07,192.78,ok,sin novedad
2026-06-01,5,Buena Vista,Centro,Programador,36.36,145.18,ok,sin novedad
2026-06-02,5,La Esperanza,Centro,Disenador visual,33.72,146.12,ok,sin novedad
